fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01073,45013,20,39,2550
01073,22051,19,35,1046
01073,28047,19,35,586
01073,45079,19,39,981
01073,08031,18,29,851
01073,08041,18,35,525
01073,12009,18,39,688
01073,12109,18,38,1314
01073,12113,18,42,1049
01073,18097,18,36,579
01073,06019,17,20,416
01073,11001,17,27,1187
01073,12073,17,32,650
01073,13073,17,43,1026
01073,13151,17,29,415
01073,29189,17,26,658
01073,48027,17,34,326
01073,01037,16,32,759
01073,01071,16,32,1087
01073,01091,16,30,525
01073,01109,16,40,911
01073,12117,16,33,1640
01073,13051,16,28,781
01073,13077,16,38,1038
01073,13115,16,18,473
01073,26125,16,38,1321
01073,28087,16,27,461
01073,37133,16,28,313
01073,48121,16,25,763
01073,48157,16,44,1615
01073,13021,15,35,500
01073,13045,15,26,461
01073,28071,15,23,648
01073,28089,15,30,2247
01073,37051,15,33,478
01073,42003,15,34,1018
01073,42101,15,31,280
01073,05119,14,31,723
01073,12071,14,24,638
01073,12101,14,30,507
01073,24033,14,27,348
01073,28075,14,24,805
01073,47125,14,29,475
01073,48141,14,26,422
01073,01087,13,16,340
01073,01119,13,22,407
01073,01131,13,26,261
01073,06065,13,26,638
01073,13113,13,23,981
01073,21067,13,33,711
01073,22103,13,36,480
01073,26161,13,20,864
01073,36081,13,32,293
01073,40109,13,19,465
01073,41051,13,19,529
01073,55079,13,27,299
01073,01053,12,24,367
01073,01063,12,29,202
01073,06085,12,18,590
01073,13057,12,30,657
01073,13245,12,17,552
01073,20091,12,32,1100
01073,28033,12,30,585
01073,28073,12,21,983
01073,37063,12,26,498
01073,40143,12,25,571
01073,01025,11,25,239
01073,01059,11,26,301
01073,04019,11,15,267
01073,06001,11,19,446
01073,06071,11,13,292
01073,08059,11,26,649
01073,12001,11,22,383
01073,13223,11,28,276
01073,27053,11,18,696
01073,28105,11,18,358
01073,45063,11,23,416
01073,48339,11,28,1034
01073,01013,10,20,512
01073,01017,10,19,368
01073,01079,10,18,194
01073,01099,10,19,253
01073,12083,10,16,461
01073,12127,10,23,511
01073,13059,10,18,345
01073,13179,10,26,302
01073,25017,10,11,294
01073,26081,10,26,311
01073,31055,10,20,190
01073,36005,10,21,149
01073,37081,10,22,500
01073,48039,10,24,483
01075,01093,49,134,1283
01075,28087,35,75,976
01075,01057,23,59,612
01075,01125,18,42,504
01075,01107,14,30,333
01075,28095,13,30,338
01077,01033,471,947,12895
01077,01089,115,201,5125
01077,01083,110,228,4185
01077,47099,58,122,1602
01077,01073,53,96,1983
01077,01103,52,93,1885
01077,01059,38,88,995
01077,01079,31,59,614
01077,47181,29,55,897
01077,01003,22,46,1629
01077,01125,18,34,475
01077,47037,16,22,554
01077,47065,15,29,827
01077,47071,15,38,389
01077,28141,14,31,261
01077,01117,12,16,288
01077,47157,12,24,484
01077,01093,11,20,243
01077,01043,10,24,355
01079,01103,282,611,9080
01079,01033,43,93,2234
01079,01089,34,63,804
01079,01077,32,61,1050
01079,01059,30,88,1284
01079,01043,17,35,526
01079,01083,16,39,453
01081,01113,565,1241,18222
01081,13215,430,855,13504
01081,01017,256,530,8038
01081,01073,139,210,4161
01081,01101,137,218,4107
01081,01087,114,216,2680
01081,01123,95,240,3897
01081,13121,91,129,2822
01081,01117,58,103,2236
01081,13285,58,135,2025
01081,01003,57,112,2074
01081,01089,55,87,1660
01081,01051,53,92,1801
01081,13067,47,77,1737
01081,01097,46,76,1159
01081,13089,42,67,1733
01081,13145,38,83,1837
01081,13077,32,77,1684
01081,01125,31,42,853
01081,13135,31,59,1158
01081,47037,30,62,954
01081,01069,28,43,835
01081,48201,26,46,682
01081,01111,25,42,674
01081,12033,24,43,674
01081,13063,23,49,419
01081,06037,20,26,580
01081,01001,19,26,697
01081,01015,19,41,470
01081,12005,19,41,522
01081,08041,18,46,782
01081,01103,16,22,521
01081,01121,16,28,292
01081,37051,16,45,572
01081,37119,16,29,479
01081,47157,15,28,432
01081,48027,15,35,563
01081,01055,14,26,400
01081,01095,14,27,500
01081,12091,14,35,699
01081,12113,14,38,824
01081,13113,14,27,580
01081,13151,14,26,304
01081,15003,14,30,606
01081,22033,14,50,520
01081,48453,14,25,614
01081,04013,13,29,579
01081,53033,13,19,367
01081,01005,12,26,248
01081,12103,12,23,296
01081,22071,12,18,284
01081,36061,12,18,564
01081,45085,12,41,302
01081,47125,12,32,490
01081,48113,12,19,444
01081,51059,12,20,597
01081,01033,11,17,223
01081,01109,11,21,153
01081,12031,11,26,254
01081,12073,11,20,436
01081,13051,11,17,444
01081,01115,10,19,216
01081,12086,10,13,185
01081,12095,10,12,170
01081,13053,10,28,283
01081,13057,10,17,396
01081,13059,10,18,222
01081,17031,10,14,166
01081,26125,10,19,990
01081,36045,10,24,564
01081,37183,10,15,384
01081,48085,10,39,346
01083,01089,760,1750,38091
01083,01103,174,393,4764
01083,01077,88,188,2992
01083,47055,53,110,2917
01083,01073,38,71,1231
01083,01079,26,58,1056
01083,47103,26,57,309
01083,01095,21,39,947
01083,47065,18,59,1129
01083,47037,17,42,601
01083,01117,16,31,968
01083,01097,15,27,344
01083,01043,14,31,442
01083,01101,14,34,310
01083,01033,11,21,258
01083,01071,11,22,512
01083,01127,11,47,418
01083,13215,11,17,287
01083,01003,10,18,423
01083,01125,10,23,218
01083,12057,10,14,513
01085,01101,179,412,3911
01085,01013,33,78,1364
01085,01051,17,34,623
01085,01001,16,38,454
01085,01047,16,50,457
01087,01081,204,454,4671
01087,01101,101,212,2609
01087,01011,46,99,1515
01087,01123,28,62,785
01087,01113,21,41,453
01087,01051,19,37,713
01087,13215,16,28,487
01087,01073,14,22,291
01087,13121,12,19,148
01089,01083,1001,2265,56645
01089,01103,392,888,14626
01089,01073,277,467,8763
01089,01095,231,464,9650
01089,47103,191,448,7930
01089,47037,127,209,3088
01089,13121,90,152,4164
01089,01071,89,187,4052
01089,01077,77,158,2317
01089,01117,74,131,3956
01089,47157,69,117,2222
01089,01097,65,113,1391
01089,01101,63,99,1715
01089,01043,61,121,3658
01089,13067,61,113,3241
01089,48201,60,115,2480
01089,13089,56,75,1512
01089,06037,53,87,2559
01089,01125,52,84,1522
01089,01081,51,83,2071
01089,12086,51,66,1390
01089,13135,51,103,1656
01089,47065,51,96,1983
01089,12095,50,77,2412
