fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01055,01003,19,47,1069
01055,13067,19,41,792
01055,12005,18,37,525
01055,01081,15,25,474
01055,01071,14,34,378
01055,13121,14,25,441
01055,01097,13,22,257
01055,01101,13,26,505
01055,01103,11,26,323
01055,13089,11,11,282
01057,01125,77,189,3177
01057,01093,66,142,2026
01057,01075,23,58,742
01057,01127,21,41,583
01057,01107,11,23,423
01059,01033,139,312,5714
01059,01093,60,161,1394
01059,01077,47,114,1260
01059,28057,34,76,900
01059,01103,31,92,847
01059,01133,30,70,722
01059,28141,28,94,1076
01059,01089,22,47,899
01059,01073,21,50,710
01059,01127,21,76,564
01059,01079,18,55,513
01059,28081,18,66,588
01059,01125,14,54,346
01061,01069,168,354,5136
01061,01031,83,207,3037
01061,01045,53,129,1657
01061,12059,22,53,532
01061,01039,21,51,546
01061,12005,15,25,382
01061,01067,11,21,441
01061,12091,10,18,408
01061,12131,10,25,349
01063,01125,90,213,2028
01063,01073,16,31,308
01063,01091,15,33,400
01065,01125,184,411,6974
01065,01091,38,103,2118
01065,01105,21,46,451
01065,01073,11,20,332
01067,01069,186,412,5760
01067,01045,44,96,1562
01067,01005,42,106,1092
01069,01045,373,798,12407
01069,01067,190,457,6980
01069,01061,164,380,4623
01069,01031,126,289,4831
01069,12005,80,137,2972
01069,01005,74,213,1824
01069,01073,65,111,2622
01069,12063,65,158,1629
01069,01101,54,101,2011
01069,01109,44,115,1382
01069,01003,37,78,1808
01069,01097,36,66,1049
01069,01089,28,59,1777
01069,01081,27,65,1010
01069,01125,27,60,1344
01069,13121,26,58,1019
01069,12033,25,52,888
01069,13215,25,38,750
01069,01123,24,127,824
01069,13099,24,53,593
01069,12057,22,39,920
01069,12073,22,45,678
01069,48453,22,41,766
01069,01117,21,40,1141
01069,12091,21,39,519
01069,12031,19,36,785
01069,13089,19,37,909
01069,13253,19,32,692
01069,12095,17,32,437
01069,01039,16,38,165
01069,13135,16,36,403
01069,01051,14,27,370
01069,01113,14,20,394
01069,12011,14,20,252
01069,12113,14,26,874
01069,13067,14,33,989
01069,48201,14,32,659
01069,06037,12,23,386
01069,12059,11,21,347
01069,37119,11,23,1574
01069,47037,11,19,1528
01069,12105,10,18,219
01069,12131,10,17,628
01069,12133,10,25,226
01069,13063,10,27,203
01069,47125,10,26,343
01071,01049,176,428,5490
01071,01089,128,240,5060
01071,01095,84,184,2690
01071,47115,57,143,1839
01071,47065,46,114,1569
01071,13083,30,68,907
01071,01055,15,32,447
01071,01083,11,25,521
01073,01117,2788,5588,150482
01073,01115,929,1904,41226
01073,01125,560,1261,21479
01073,01009,506,1134,19381
01073,01089,290,506,11936
01073,01127,264,556,9664
01073,13121,260,419,11389
01073,01101,191,331,7298
01073,01003,182,356,13158
01073,01097,174,318,5148
01073,01043,167,349,10030
01073,13089,162,272,5748
01073,47037,148,217,8463
01073,01121,144,303,5644
01073,48201,130,234,8369
01073,01015,118,220,3804
01073,01007,112,272,3990
01073,01021,112,319,3274
01073,01081,106,184,4728
01073,48453,106,212,4228
01073,01055,105,203,3715
01073,13067,105,196,6607
01073,13135,84,168,3861
01073,47157,82,151,3690
01073,48113,79,135,7231
01073,06037,77,134,4121
01073,17031,74,111,2804
01073,01103,66,120,2634
01073,01077,61,116,3284
01073,12033,60,120,2962
01073,12057,58,108,2902
01073,01069,57,122,2743
01073,12011,54,111,3121
01073,01051,51,94,1792
01073,06073,49,88,1914
01073,48439,48,102,2483
01073,12086,47,78,1758
01073,13215,47,67,1455
01073,47187,47,119,4363
01073,37119,46,103,4025
01073,47065,46,80,2648
01073,01095,43,72,1176
01073,04013,43,86,2564
01073,12095,43,86,3418
01073,22071,42,68,1306
01073,12091,41,84,2663
01073,12103,41,61,2465
01073,13063,41,80,1025
01073,36061,41,55,4584
01073,26163,38,83,1244
01073,47093,36,74,3657
01073,01001,35,70,1140
01073,11001,35,45,1893
01073,12031,34,64,1315
01073,12005,33,61,2568
01073,12099,32,56,1488
01073,32003,32,68,2779
01073,53033,32,56,1403
01073,01047,31,68,788
01073,12131,31,59,9803
01073,13097,31,70,1178
01073,01123,30,61,1834
01073,01133,30,51,2287
01073,22051,30,45,834
01073,24031,29,55,2825
01073,28049,29,51,1308
01073,45045,29,59,1992
01073,48029,29,56,1366
01073,01083,28,61,1386
01073,39049,27,51,1094
01073,48085,27,76,2442
01073,36047,26,45,689
01073,37183,26,40,1099
01073,08041,25,38,935
01073,13051,25,53,1029
01073,06059,24,61,2201
01073,51059,24,44,1706
01073,37133,23,50,711
01073,48121,23,48,1328
01073,01033,22,53,1227
01073,29189,22,46,1158
01073,42003,22,44,5144
01073,47149,22,48,674
01073,13117,21,55,2222
01073,15003,21,30,721
01073,42101,21,40,1391
01073,01031,20,23,577
01073,01113,20,29,434
01073,06065,20,37,655
01073,12073,20,44,1031
01073,01049,19,44,538
01073,12009,19,42,705
01073,22033,19,33,1403
01073,22103,19,42,1476
01073,28047,19,43,551
01073,36081,19,28,512
01073,12001,18,39,1005
